x,Constant Epsilon,Linearly Varying Epsilon,Exponentially Varying Epsilon,Random Varying Epsilon
0.44578,6.54676e-12,5.74721e-05,1.80300e-13,1.15463e-14
0.44980,1.55119e-10,5.58714e-05,1.30074e-12,3.50830e-14
0.45382,1.15203e-10,1.35800e-05,7.19869e-13,1.90958e-14
0.45783,2.67729e-10,2.31777e-06,3.10862e-15,2.44249e-14
0.46185,3.37915e-10,3.15473e-05,1.97087e-12,2.66454e-15
0.46586,3.35099e-10,3.54993e-05,8.59757e-13,2.13163e-14
0.46988,9.70886e-10,6.00513e-06,9.09939e-13,2.17604e-14
0.47390,2.34526e-10,7.75948e-06,1.24079e-12,2.66454e-15
0.47791,1.76294e-10,4.80398e-05,7.61169e-13,6.48370e-14
0.48193,6.48983e-11,5.74444e-05,1.00631e-12,1.68754e-14
0.48594,6.16755e-10,2.13883e-05,1.36824e-12,2.53131e-14
0.48996,1.13024e-10,7.78881e-07,1.04272e-12,2.66454e-14
0.49398,4.28965e-10,2.36571e-08,1.11200e-12,4.61853e-14
0.49799,9.25926e-12,1.38839e-07,1.88205e-12,8.88178e-16
0.50201,7.07751e-10,1.59273e-07,1.42730e-12,1.33227e-14
0.50602,8.94627e-10,1.80193e-07,4.79616e-13,5.32907e-14
0.51004,1.04435e-09,4.72723e-09,1.57163e-12,2.70894e-14
0.51406,3.14567e-10,1.12118e-09,1.25455e-12,3.86358e-14
0.51807,6.33594e-10,4.91546e-09,1.30562e-13,1.68754e-14
0.52209,4.09124e-10,5.14937e-09,3.55893e-12,2.04281e-14
0.52610,2.31135e-10,6.86405e-08,1.69553e-12,2.39808e-14
0.53012,4.26098e-10,1.08709e-07,2.72893e-12,4.92939e-14
0.53414,8.29054e-10,5.78160e-07,2.22400e-12,4.97380e-14
0.53815,5.70746e-10,3.65923e-07,2.46292e-12,2.57572e-14
0.54217,1.97932e-10,3.08994e-07,1.02673e-12,1.06581e-14
0.54618,1.27936e-09,9.41930e-07,1.17506e-12,6.83897e-14
0.55020,8.53611e-10,1.41598e-05,1.76881e-12,6.43929e-14
